dbw_enabled,linear_current,angular_current,linear_required,angular_required,throttle,brake,steer,dx_c,dy_c,theta_c
TRUE,7.329269974,0,1.030886749,0,0,1807.01599,0,1147.673,1184.664,0.1193913
TRUE,7.329269974,0,0,0,0,1807.677327,0,1147.673,1184.664,0.1193913
TRUE,7.329269974,0,0,0,0,1808.118218,0,1147.673,1184.664,0.1193913
TRUE,7.329269974,0,0,0,0,1808.412145,0,1147.673,1184.664,0.1193913
TRUE,7.329269974,0,0,0,0,1808.608097,0,1147.673,1184.664,0.1193913
TRUE,7.329269974,0,0,0,0,1808.738731,0,1147.673,1184.664,0.1193913
TRUE,7.329269974,0,0,0,0,1808.825821,0,1147.673,1184.664,0.1193913
TRUE,7.510146829,0.002750106,0,0,0,1808.883881,0,1150.177,1184.875,0.1224567
TRUE,7.510146829,0,0,0,0,1808.922587,0,1150.177,1184.875,0.1224567
TRUE,7.510146829,0,0,0,0,1808.948391,0,1150.177,1184.875,0.1224567
TRUE,7.510146829,0,1,0,0,1808.965594,0,1150.177,1184.875,0.1224567
TRUE,7.510146829,0,1,0,0,1808.977063,0,1150.177,1184.875,0.1224567
TRUE,7.510146829,0,1,0,0,1808.984709,0,1150.177,1184.875,0.1224567
TRUE,7.510146829,0,1,0,0,1808.989806,0,1150.177,1184.875,0.1224567
TRUE,7.510146829,0,1,0,0,1808.993204,0,1150.177,1184.875,0.1224567
TRUE,7.51965537,0,1,0,0,1808.995469,0,1152.568,1185.077,0.1241677
TRUE,7.51965537,0,1,0,0,1808.996979,0,1152.568,1185.077,0.1241677
TRUE,7.51965537,0,1,0,0,1808.997986,0,1152.568,1185.077,0.1241677
TRUE,7.51965537,0,1,0,0,1808.998658,0,1152.568,1185.077,0.1241677
TRUE,7.51965537,0,1,0,0,1808.999105,0,1152.568,1185.077,0.1241677
TRUE,7.51965537,0,2.325710688,0,0,1657.083757,0,1152.568,1185.077,0.1241677
TRUE,7.51965537,0,2.325710688,0,0,1668.47326,0,1152.568,1185.077,0.1241677
TRUE,7.51965537,0,2.325710688,0,0,1676.081922,0,1152.568,1185.077,0.1241677
TRUE,6.704983085,0,2.325710688,0,0,1455.164906,0,1154.978,1185.281,0.1243051
TRUE,6.704983085,0,2.325710688,0,0,1445.449366,0,1154.978,1185.281,0.1243051
TRUE,6.704983085,0,2.325710688,0,0,1438.959137,0,1154.978,1185.281,0.1243051
TRUE,6.704983085,0,2.777777778,0,0,1346.418806,0,1154.978,1185.281,0.1243051
TRUE,6.704983085,0,2.777777778,0,0,1323.871401,0,1154.978,1185.281,0.1243051
TRUE,6.704983085,0,2.777777778,0,0,1308.851639,0,1154.978,1185.281,0.1243051
TRUE,6.704983085,0,2.777777778,0,0,1298.826623,0,1154.978,1185.281,0.1243051
TRUE,6.704983085,0,2.777777778,0,0,1292.15512,0,1154.978,1185.281,0.1243051
TRUE,6.704983085,0,2.777777778,0,0,1287.695611,0,1154.978,1185.281,0.1243051
TRUE,5.26423575,0,2.777777778,0,0,1008.475495,0,1156.99,1185.45,0.1252166
TRUE,5.26423575,0,2.777777778,0,0,942.1971447,0,1156.99,1185.45,0.1252166
TRUE,5.26423575,0,2.777777778,0,0,898.0190748,0,1156.99,1185.45,0.1252166
TRUE,5.26423575,0,2.777777778,0,0,868.5595316,0,1156.99,1185.45,0.1252166
TRUE,5.26423575,0,2.777777778,0,0,848.9273327,0,1156.99,1185.45,0.1252166
TRUE,5.26423575,0,2.777777778,0,0,835.8317035,0,1156.99,1185.45,0.1252166
TRUE,5.26423575,0,2.777777778,0,0,827.1087807,0,1156.99,1185.45,0.1252166
TRUE,3.364265682,0,2.777777778,0,0,430.8058538,0,1158.346,1185.566,0.1250547
TRUE,3.364265682,0,2.777777778,0,0,350.8630679,0,1158.346,1185.566,0.1250547
TRUE,3.364265682,0,2.777777778,0,0,297.5661091,0,1158.346,1185.566,0.1250547
TRUE,3.364265682,0,2.777777778,0,0,262.0365714,0,1158.346,1185.566,0.1250547
TRUE,3.364265682,0,2.777777778,0,0,238.3484447,0,1158.346,1185.566,0.1250547
TRUE,3.364265682,0,2.777777778,0,0,222.5581285,0,1158.346,1185.566,0.1250547
TRUE,3.364265682,0,2.777777778,0,0,212.0294828,0,1158.346,1185.566,0.1250547
TRUE,3.364265682,0,2.777777778,0,0,205.0121539,0,1158.346,1185.566,0.1250547
TRUE,1.116585666,0,2.777777778,0,0,0,0,1159.077,1185.629,0.1270861
TRUE,1.116585666,0,2.777777778,0,0.303713342,0,0,1159.077,1185.629,0.1270861
TRUE,1.116585666,0,2.777777778,0,0.4,0,0,1159.077,1185.629,0.1270861
TRUE,1.116585666,0,2.777777778,0,0.4,0,0,1159.077,1185.629,0.1270861
TRUE,1.116585666,0,2.777777778,0,0.4,0,0,1159.077,1185.629,0.1270861
TRUE,1.116585666,0,2.777777778,0,0.4,0,0,1159.077,1185.629,0.1270861
TRUE,1.116585666,0,2.777777778,0,0.4,0,0,1159.077,1185.629,0.1270861
TRUE,1.116585666,0,2.777777778,0,0.4,0,0,1159.077,1185.629,0.1270861
TRUE,1.116585666,0,2.777777778,0,0.4,0,0,1159.077,1185.629,0.1270861
TRUE,0.001681862,0,2.777777778,0,0.4,0,0,1159.167,1185.636,0.1284002
TRUE,0.001681862,0,2.777777778,0,0.4,0,0,1159.167,1185.636,0.1284002
TRUE,0.001681862,0,2.777777778,0,0.4,0,0,1159.167,1185.636,0.1284002
TRUE,0.001681862,0,2.777777778,0,0.4,0,0,1159.167,1185.636,0.1284002
TRUE,0.001681862,0,1,0,0.4,0,0,1159.167,1185.636,0.1284002
TRUE,0.001681862,0,1,0,0.4,0,0,1159.167,1185.636,0.1284002
TRUE,0.001681862,0,1,0,0.4,0,0,1159.167,1185.636,0.1284002
TRUE,0.001681862,0,1,0,0.4,0,0,1159.167,1185.636,0.1284002
TRUE,8.16E-05,0,1,0,0.4,0,0,1159.167,1185.636,0.1284831
TRUE,8.16E-05,0,1,0,0.4,0,0,1159.167,1185.636,0.1284831
TRUE,8.16E-05,0,1,0,0.4,0,0,1159.167,1185.636,0.1284831
TRUE,8.16E-05,0,1,0,0.4,0,0,1159.167,1185.636,0.1284831
TRUE,8.16E-05,0,1,0,0.4,0,0,1159.167,1185.636,0.1284831
TRUE,8.16E-05,0,1,0,0.4,0,0,1159.167,1185.636,0.1284831
TRUE,1.73E-06,0,1,0,0.4,0,0,1159.167,1185.636,0.1284751
TRUE,1.73E-06,0,1,0,0.4,0,0,1159.167,1185.636,0.1284751
TRUE,1.73E-06,0,1,0,0.4,0,0,1159.167,1185.636,0.1284751
TRUE,1.73E-06,0,1,0,0.4,0,0,1159.167,1185.636,0.1284751
TRUE,1.73E-06,0,1,0,0.4,0,0,1159.167,1185.636,0.1284751
TRUE,1.73E-06,0,1,0,0.4,0,0,1159.167,1185.636,0.1284751
TRUE,1.73E-06,0,1,0,0.4,0,0,1159.167,1185.636,0.1284751
TRUE,1.73E-06,0,1,0,0.4,0,0,1159.167,1185.636,0.1284751
TRUE,1.73E-06,0,1,0,0.4,0,0,1159.167,1185.636,0.1284751
TRUE,6.84E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,6.84E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,6.84E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,6.84E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,6.84E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,6.84E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,6.84E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,6.84E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,7.29E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,7.29E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,7.29E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,7.29E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,7.29E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,7.29E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,7.29E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,7.29E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,7.29E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.38E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,1.94E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,1.94E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,1.94E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,1.94E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,1.94E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,1.94E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,1.94E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,1.94E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
TRUE,2.98E-07,0,1,0,0.4,0,0,1159.167,1185.636,0.1284755
